========================================
QS complex  d=20  N=861  rng(1)
Started: 2026-05-10 03:05:49
========================================

--- 生成约束矩阵 ---
qsmom_complex: n=861, m=606452 (5220.39s)
convertCtoR:   n_r=1722, m_r=606452

--- ManiCSDP (complex SDP) ---
ManiCSDP is starting...
CSDP size: n = 861, m = 606452
Iter 37, obj:-56.97701753, gap:1.2e-01, pinf:5.8e-02, dinf:5.2e-03, gradnorm:5.8e-01, r:90, p:94, sigma:64.000, time:39.77s
Iter 38, obj:-57.52968872, gap:1.0e-01, pinf:5.2e-02, dinf:1.3e-02, gradnorm:8.7e-01, r:96, p:96, sigma:128.000, time:42.43s
Iter 39, obj:-56.87784301, gap:8.5e-02, pinf:4.5e-02, dinf:2.9e-02, gradnorm:2.3e+00, r:102, p:102, sigma:256.000, time:44.55s
Iter 40, obj:-57.11459363, gap:6.7e-02, pinf:4.4e-02, dinf:3.6e-02, gradnorm:5.4e+00, r:108, p:108, sigma:256.000, time:46.71s
Iter 41, obj:-65.36082668, gap:9.9e-03, pinf:6.7e-02, dinf:2.8e-02, gradnorm:1.1e+01, r:114, p:114, sigma:128.000, time:48.06s
Iter 42, obj:-64.45439359, gap:4.0e-03, pinf:8.1e-02, dinf:2.2e-02, gradnorm:5.8e+00, r:120, p:120, sigma:64.000, time:49.35s
Iter 43, obj:-69.25757131, gap:3.6e-02, pinf:8.2e-02, dinf:1.6e-02, gradnorm:7.1e+00, r:126, p:126, sigma:64.000, time:50.67s
Iter 44, obj:-70.51681303, gap:4.6e-02, pinf:7.2e-02, dinf:1.1e-02, gradnorm:6.5e+00, r:132, p:132, sigma:64.000, time:52.12s
Iter 45, obj:-57.63051947, gap:4.8e-02, pinf:5.5e-02, dinf:2.1e-03, gradnorm:4.4e-01, r:138, p:138, sigma:64.000, time:56.22s
Iter 46, obj:-57.69313096, gap:4.0e-02, pinf:3.5e-02, dinf:5.7e-03, gradnorm:7.8e-01, r:144, p:144, sigma:128.000, time:60.14s
Iter 47, obj:-57.55567947, gap:3.5e-02, pinf:3.4e-02, dinf:1.1e-02, gradnorm:6.8e-01, r:150, p:150, sigma:128.000, time:62.69s
Iter 48, obj:-59.04216306, gap:1.8e-02, pinf:3.3e-02, dinf:1.3e-02, gradnorm:2.1e+00, r:156, p:156, sigma:128.000, time:65.20s
Iter 49, obj:-59.54714433, gap:8.3e-03, pinf:3.4e-02, dinf:1.3e-02, gradnorm:2.5e+00, r:162, p:162, sigma:128.000, time:67.76s
Iter 50, obj:-60.44293747, gap:7.4e-04, pinf:3.4e-02, dinf:1.3e-02, gradnorm:2.7e+00, r:168, p:168, sigma:128.000, time:70.30s
Iter 51, obj:-59.81883860, gap:1.4e-03, pinf:3.4e-02, dinf:1.3e-02, gradnorm:2.3e+00, r:174, p:174, sigma:128.000, time:73.06s
Iter 52, obj:-60.55410982, gap:9.4e-03, pinf:3.3e-02, dinf:1.2e-02, gradnorm:2.7e+00, r:180, p:180, sigma:128.000, time:75.73s
Iter 53, obj:-59.86157608, gap:9.4e-03, pinf:3.2e-02, dinf:1.2e-02, gradnorm:2.3e+00, r:186, p:186, sigma:128.000, time:78.36s
Iter 54, obj:-60.53369120, gap:1.7e-02, pinf:3.2e-02, dinf:1.1e-02, gradnorm:2.8e+00, r:192, p:192, sigma:128.000, time:81.06s
Iter 55, obj:-59.75524465, gap:1.5e-02, pinf:3.0e-02, dinf:1.0e-02, gradnorm:2.3e+00, r:198, p:198, sigma:128.000, time:83.79s
Iter 56, obj:-59.93138673, gap:1.8e-02, pinf:2.9e-02, dinf:9.5e-03, gradnorm:2.3e+00, r:204, p:204, sigma:128.000, time:86.56s
Iter 57, obj:-59.00780231, gap:1.5e-02, pinf:2.7e-02, dinf:9.1e-03, gradnorm:1.6e+00, r:210, p:210, sigma:128.000, time:89.37s
Iter 58, obj:-59.35980846, gap:2.0e-02, pinf:2.6e-02, dinf:8.6e-03, gradnorm:1.7e+00, r:216, p:216, sigma:128.000, time:92.22s
Iter 59, obj:-58.97053885, gap:2.1e-02, pinf:2.5e-02, dinf:8.4e-03, gradnorm:1.3e+00, r:222, p:222, sigma:128.000, time:95.10s
Iter 60, obj:-59.24607429, gap:2.5e-02, pinf:2.4e-02, dinf:7.9e-03, gradnorm:1.3e+00, r:228, p:228, sigma:128.000, time:98.02s
Iter 61, obj:-59.99162161, gap:3.5e-02, pinf:2.5e-02, dinf:2.7e-03, gradnorm:7.0e-01, r:234, p:234, sigma:128.000, time:103.25s
Iter 62, obj:-58.25677425, gap:2.3e-02, pinf:2.1e-02, dinf:2.9e-03, gradnorm:1.8e-01, r:240, p:240, sigma:128.000, time:108.56s
Iter 63, obj:-58.40404691, gap:2.9e-02, pinf:1.9e-02, dinf:5.6e-03, gradnorm:2.5e-01, r:246, p:246, sigma:256.000, time:114.00s
Iter 64, obj:-58.03457798, gap:3.5e-02, pinf:1.8e-02, dinf:1.0e-02, gradnorm:4.2e-01, r:252, p:252, sigma:512.000, time:119.53s
Iter 65, obj:-57.94855951, gap:4.2e-02, pinf:1.7e-02, dinf:1.2e-02, gradnorm:8.9e-01, r:258, p:258, sigma:512.000, time:125.13s
Iter 66, obj:-57.85226657, gap:4.7e-02, pinf:1.6e-02, dinf:1.3e-02, gradnorm:1.1e+00, r:264, p:264, sigma:512.000, time:130.78s
Iter 67, obj:-57.58883933, gap:5.0e-02, pinf:1.5e-02, dinf:1.2e-02, gradnorm:1.2e+00, r:270, p:270, sigma:512.000, time:136.52s
Iter 68, obj:-57.27718195, gap:5.3e-02, pinf:1.4e-02, dinf:1.2e-02, gradnorm:1.1e+00, r:276, p:276, sigma:512.000, time:142.36s
Iter 69, obj:-56.95530940, gap:5.4e-02, pinf:1.4e-02, dinf:1.1e-02, gradnorm:1.1e+00, r:282, p:282, sigma:512.000, time:148.28s
Iter 70, obj:-56.62485034, gap:5.6e-02, pinf:1.3e-02, dinf:1.0e-02, gradnorm:1.2e+00, r:288, p:288, sigma:512.000, time:154.32s
Iter 71, obj:-56.22324916, gap:5.6e-02, pinf:1.2e-02, dinf:9.7e-03, gradnorm:1.2e+00, r:294, p:294, sigma:512.000, time:160.38s
Iter 72, obj:-56.20342817, gap:5.8e-02, pinf:1.3e-02, dinf:9.4e-03, gradnorm:9.8e-01, r:300, p:300, sigma:256.000, time:163.83s
Iter 73, obj:-56.26610119, gap:5.8e-02, pinf:1.3e-02, dinf:4.8e-03, gradnorm:1.0e+00, r:306, p:306, sigma:256.000, time:169.99s
Iter 74, obj:-55.08444609, gap:5.0e-02, pinf:1.0e-02, dinf:3.4e-03, gradnorm:5.9e-01, r:312, p:312, sigma:256.000, time:176.24s
Iter 75, obj:-54.81305475, gap:4.7e-02, pinf:9.1e-03, dinf:3.1e-03, gradnorm:1.0e+00, r:318, p:318, sigma:256.000, time:182.62s
Iter 76, obj:-54.51485238, gap:4.4e-02, pinf:9.3e-03, dinf:1.9e-03, gradnorm:1.4e+00, r:324, p:324, sigma:128.000, time:189.03s
Iter 77, obj:-53.30127247, gap:2.8e-02, pinf:1.0e-02, dinf:9.9e-04, gradnorm:1.6e+00, r:305, p:330, sigma:64.000, time:195.52s
Iter 78, obj:-50.91644726, gap:8.6e-03, pinf:1.1e-02, dinf:3.4e-04, gradnorm:8.3e-01, r:227, p:311, sigma:32.000, time:201.85s
Iter 79, obj:-49.98189049, gap:2.6e-03, pinf:8.0e-03, dinf:1.3e-04, gradnorm:2.7e-01, r:173, p:232, sigma:32.000, time:207.16s
Iter 80, obj:-50.23751491, gap:5.9e-03, pinf:5.7e-03, dinf:1.4e-04, gradnorm:1.5e-01, r:131, p:177, sigma:32.000, time:211.77s
