Log file: D:\Mine\Mani\ManiCSDP\Numerical Experiment\results_overnight_safe\bqp_d20_rng1.txt
Case started at: 2026-05-04 02:45:47
========== BQP complex d=20 rng(1) ==========

=== ManiCSDP_unitdiag (complex SDP) ===
ManiCSDP is starting...
CSDP size: n = 861, m = 621320
Iter 1, obj:-86.04630287, gap:1.0e+00, pinf:5.6e+02, dinf:5.2e-02, gradnorm:2.7e+01, r:2, p:2, sigma:0.001, time:0.54s
Iter 37, obj:-98.71713091, gap:4.2e-06, pinf:5.4e-02, dinf:8.6e-06, gradnorm:1.0e-01, r:12, p:15, sigma:0.064, time:116.31s
Iter 38, obj:-98.71818640, gap:5.3e-06, pinf:7.5e-02, dinf:6.7e-06, gradnorm:5.2e-02, r:10, p:14, sigma:0.032, time:119.17s
Iter 39, obj:-98.72003647, gap:2.9e-06, pinf:4.5e-02, dinf:1.5e-05, gradnorm:9.2e-02, r:10, p:12, sigma:0.064, time:122.00s
Iter 40, obj:-98.72201102, gap:5.4e-06, pinf:5.7e-02, dinf:4.2e-06, gradnorm:7.1e-02, r:10, p:12, sigma:0.032, time:124.83s
Iter 41, obj:-98.72595638, gap:2.4e-06, pinf:1.3e-01, dinf:2.4e-06, gradnorm:6.6e-02, r:10, p:12, sigma:0.016, time:127.67s
Iter 42, obj:-98.72699667, gap:6.9e-06, pinf:9.8e-02, dinf:7.0e-06, gradnorm:7.0e-02, r:8, p:12, sigma:0.032, time:130.62s
Iter 43, obj:-98.73051983, gap:1.7e-06, pinf:7.3e-02, dinf:1.6e-05, gradnorm:8.9e-02, r:8, p:10, sigma:0.064, time:133.45s
Iter 44, obj:-98.73388315, gap:3.2e-06, pinf:1.0e-01, dinf:9.6e-06, gradnorm:7.9e-02, r:7, p:10, sigma:0.032, time:136.25s
Iter 45, obj:-98.73444340, gap:5.5e-07, pinf:6.5e-02, dinf:1.7e-05, gradnorm:7.4e-02, r:7, p:9, sigma:0.064, time:139.01s
Iter 46, obj:-98.73556601, gap:1.9e-06, pinf:8.1e-02, dinf:7.6e-06, gradnorm:6.7e-02, r:7, p:9, sigma:0.032, time:141.81s
Iter 47, obj:-98.73738250, gap:2.5e-06, pinf:5.1e-02, dinf:8.6e-06, gradnorm:7.6e-02, r:6, p:9, sigma:0.064, time:144.58s
Iter 48, obj:-98.73761559, gap:4.5e-06, pinf:7.2e-02, dinf:9.7e-06, gradnorm:6.2e-02, r:5, p:8, sigma:0.032, time:147.38s
Iter 49, obj:-98.73940084, gap:1.4e-06, pinf:4.1e-02, dinf:3.9e-06, gradnorm:6.3e-02, r:6, p:7, sigma:0.064, time:150.15s
Iter 50, obj:-98.74055176, gap:2.6e-06, pinf:4.9e-02, dinf:1.7e-06, gradnorm:4.4e-02, r:5, p:7, sigma:0.032, time:152.97s
Iteration maximum is reached!
ManiCSDP: optimum = -98.74055176, time = 152.97s
ManiCSDP_unitdiag: f = -98.74055176, eta = 4.9e-02, t = 152.97s

=== convertCtoR ===
